0x00AE6C67  BONE   .skcon
0x00B2D882  _IMG   .dds
0x00B552EA  _SPT   .tree
0x010077BB  _AUD   .mp3
0x010077C4  _AUD   .wav
0x010077CA  _AUD   .xa
0x015A1849  GEOM   .simgeom
0x0166038C  _KEY   .keyname
0x01661233  MODL   .model
0x0175E5CD  SCPT   .oldscript
0x0181B0D2  _AUD   .abk
0x01A527DB  _AUD   .snr
0x01D0E75D  MATD   .material
0x01D10F34  MLOD   .lod
0x01EEF63A  _AUD   .sns
0x02019972  MTST   .mtst
0x021D7E8C  SPT2   .speedtree
0x022B756C  WRDH   .wdescnamehash
0x024A0E52  CNFG   .cfg
0x025C90A6  _CSS   .css
0x025C95B6  LAYO   .layout
0x025ED6F4  SIMO   .outfit
0x029E333B  VOCE   .voicemix
0x02B9F662  PROP   .audprop
0x02C9EFF2  MIXR   .audmix
0x02D5DF13  JAZZ   .jazz
0x02DC343F  OBJK   .objkey
0x033260E3  TkMk   .trackmask
0x0333406C  _XML   .xml
0x033A1435  TXTC   .compositor
0x0341ACC9  TXTF   .fabric
0x034AEECB  CASP   .caspart
0x0354796A  TONE   .skintone
0x03555BA8  TONE   .hairtone
0x0355E0A6  BOND   .bonedelta
0x0358B08A  FACE   .faceblend
0x03B33DDF  ITUN   .tuning
0x03B4C61D  LITE   .light
0x03D843C2  CCHE   .cacheentry
0x03D86EA4  DETL   .details
0x3F8662EA  JPEG   .jpg
0x0418FE2A  CFEN   .fence
0x044AE110  COMP   .complate
0x049CA4CD  CSTR   .stairs
0x04A4D951  WDET   .wrlddetail
0x04AC5D93  CPRX   .proxyprod
0x04B30669  CTTL   .terraintool
0x04C58103  CRAL   .railing
0x04D82D90  CMRU   .cachemru
0x04ED4BB2  CTPT   .terrainpaint
0x04F3CC01  CFIR   .fireplace
0x04F51033  SBNO   .binoutfit
0x04F88964  SIME   .simexport
0x051DF2DD  CBLN   .compblend
0x0580A2B4  THUM   .png
0x0580A2B5  THUM   .png
0x0580A2B6  THUM   .png
0x0580A2CD  SNAP   .png
0x0580A2CE  SNAP   .png
0x0580A2CF  SNAP   .png
0x0589DC44  THUM   .png
0x0589DC45  THUM   .png
0x0589DC46  THUM   .png
0x0589DC47  THUM   .png
0x0591B1AF  UPST   .usercastpreset
0x05B17698  THUM   .png
0x05B17699  THUM   .png
0x05B1769A  THUM   .png
0x05B1B524  THUM   .png
0x05B1B525  THUM   .png
0x05B1B526  THUM   .png
0x05ED1226  REFS   .references
0x05FF6BA4  2ARY   .bnry
0x0604ABDA  DMTR   .dreamtree
0x060B390C  CWAT   .water
0x062853A8  FAMD   .household
0x062C8204  BBLN   .bodyblend
0x062E9EE0  _TTF   .ttf
0x06302271  CINF   .color
0x063261DA  HINF   .haircolor
0x06326213  OBCI   .objcolor
0x065DF841  CPCA   .cpcache
0x0668F628  WDDT   .wdescdetail
0x0668F630  WDNL   .numlots
0x0668F635  TWNI   .png
0x0668F639  TWNP   .imgpath
0x067CAA11  BGEO   .blendgeom
0x06B981ED  OBJS   .objs
0x06CE4804  META   .worldmeta
0x073FAA07  S3SA   .s3sa
0x0A36F07A  CCFP   .fountain
0x0A98EAF0  JSON   .json
0x0C07456D  COLL   .bnry
0x0C07469F  CLDR   .bnry
0x0C37A5B5  LOOK   .lookuptab
0x11C258C0  CTRG   .bnry
0x1A3201CD  _MOD   .override
0x1F886EAD  _INI   .ini
0x220557DA  STBL   .stbl
0x2653E3C8  THUM   .png
0x2653E3C9  THUM   .png
0x2653E3CA  THUM   .png
0x2D4284F0  THUM   .png
0x2D4284F1  THUM   .png
0x2D4284F2  THUM   .png
0x2E75C764  ICON   .png
0x2E75C765  ICON   .png
0x2E75C766  ICON   .png
0x2E75C767  ICON   .png
0x2F7D0002  IMAG   .jpg
0x2F7D0004  IMAG   .png
0x2F7D0006  IMAG   .tga
0x2F7D0008  UITX   .uitexture
0x316C78F2  CFND   .foundation
0x319E4F1D  OBJD   .object
0x35A33E29  WDSH   .wdeschash
0x3A65AF29  MINF   .makeup
0x4D1A5589  OBJN   .objn
0x4E97BAD8  OBSC   .objscript
0x515CA4CD  CWAL   .wall
0x5DE9DBA0  THUM   .png
0x5DE9DBA1  THUM   .png
0x5DE9DBA2  THUM   .png
0x626F60CC  THUM   .png
0x626F60CD  THUM   .png
0x626F60CE  THUM   .png
0x63A33EA7  ANIM   .animimg
0x67771F5C  JSON   .json
0x6B20C4F3  CLIP   .animation
0x6B6D837D  SNAP   .png
0x6B6D837E  SNAP   .png
0x6B6D837F  SNAP   .png
0x72683C15  STPR   .sktonepreset
0x736884F1  VPXY   .proxy
0x73E93EEB  _XML   .manifest
0x8070223D  AUDT   .audtun
0x82B43584  _CRC   .checksum
0x8EAF13DE  _RIG   .grannyrig
0x8FFB80F6  _ADS   .dds
0x9063660D  WTXT   .wrldtxtrmap
0x9151E6BC  CWST   .wallstyle
0x91EDBD3E  CRST   .roofstyle
0x94C5D14A  SIGR   .signature
0xA8D58BE5  SKIL   .xml
0xAD366F95  THUM   .png
0xAD366F96  THUM   .png
0xB1CC1AF6  _VID   .video
0xB4DD716B  _INV   .inventory
0xB52F5055  FBLN   .blendunit
0xCF9A4ACE  MDLR   .modular
0xD063545B  LDES   .lotdesc
0xD3044521  RSLT   .slot
0xD382BF57  FTPT   .footprint
0xD4D9FBE5  PTRN   .patternlist
0xD55F7CAF  LRIG   .lightrig
0xD84E7FC5  ICON   .png
0xD84E7FC6  ICON   .png
0xD84E7FC7  ICON   .png
0xD9BD0909  WDNM   .wdescname
0xDD3223A7  BUFF   .xml
0xDD6233D6  HTML   .html
0xDEA2951C  PETB   .breed
0xE5105066  _XML   .xml
0xE5105067  RMLS   .xml
0xE5105068  _XML   .xml
0xEA5118B0  _SWB   .effects
0xF0FF5598  TRIG   .triggers
0xF1EDBD86  CRMT   .roofmatrl
0xF3A38370  NGMP   .guidmap
0xF609FD60  WPID   .wpackid
0xFCEAB65B  THUM   .png
*           UNKN   .bnry
